ks_len,trial,secret_seeds,corr_success,corr_time_ms,fca_success,fca_time_ms,wht_success,wht_time_ms,wht_stage1_ms,wht_stage2_ms,wht_stage3_ms,speedup_vs_corr,speedup_vs_fca
200,1,"(1575, 6631, 2998)",True,1528.0,False,68.1,True,16.9,2.2,14.6,0.2,90.39,4.03
200,2,"(4012, 3318, 2486)",True,1556.6,False,65.6,True,16.1,1.3,14.6,0.2,96.78,4.08
200,3,"(8007, 1419, 1500)",True,1552.4,False,65.1,False,34.0,1.3,14.9,17.8,45.65,1.91
200,4,"(12935, 2676, 2500)",True,1558.8,False,65.7,False,34.0,1.3,14.9,17.7,45.88,1.93
200,5,"(1609, 6267, 3410)",True,1625.6,False,66.8,True,16.9,1.4,15.4,0.2,96.07,3.95
200,6,"(11444, 5313, 5625)",True,1647.3,False,61.2,True,16.3,1.4,14.8,0.2,100.79,3.75
200,7,"(14334, 7065, 7668)",True,1574.3,False,63.6,True,16.5,1.4,14.9,0.2,95.62,3.86
200,8,"(15614, 7866, 1446)",True,1564.6,False,66.8,True,16.3,1.4,14.8,0.2,95.87,4.1
200,9,"(13456, 3165, 896)",True,1563.7,False,61.7,False,34.3,1.4,14.8,18.1,45.63,1.8
200,10,"(16224, 7199, 6062)",True,1581.0,False,63.7,True,16.4,1.5,14.8,0.2,96.17,3.88
200,11,"(9745, 2450, 4249)",True,1565.9,False,59.4,True,16.5,1.3,15.0,0.2,95.15,3.61
200,12,"(2413, 5732, 7810)",True,1633.7,False,61.6,False,36.6,1.4,15.1,20.1,44.62,1.68
200,13,"(15402, 2186, 6296)",True,1568.6,False,67.4,True,16.5,1.4,15.0,0.2,94.94,4.08
200,14,"(12191, 6569, 5624)",True,1565.1,False,70.5,True,16.8,1.4,15.2,0.2,93.32,4.2
200,15,"(8276, 3152, 4029)",True,1584.8,False,64.9,False,34.3,1.4,14.9,18.0,46.19,1.89
200,16,"(4987, 6912, 1398)",True,1630.7,False,64.1,True,16.5,1.3,15.0,0.2,99.07,3.9
200,17,"(11744, 2867, 2363)",True,1559.0,False,66.1,False,34.1,1.5,14.9,17.7,45.74,1.94
200,18,"(5905, 5891, 2222)",True,1558.1,False,64.1,False,34.2,1.3,14.9,17.9,45.55,1.87
200,19,"(6378, 5627, 2109)",True,1632.4,False,65.5,True,16.4,1.4,14.9,0.2,99.32,3.98
