ks_len,n1_ratio,n1_bits,success_pct,success_ci_lo,success_ci_hi,avg_time_ms,time_ci_lo_ms,time_ci_hi_ms
200,0.1,20,10.0,3.5,25.6,32.6,30.6,34.6
200,0.15,30,6.7,1.8,21.3,32.9,31.1,34.6
200,0.2,40,40.0,24.6,57.7,26.9,23.6,30.2
200,0.25,50,43.3,27.4,60.8,26.6,23.2,30.0
200,0.3,60,66.7,48.8,80.8,22.1,18.9,25.2
200,0.35,70,86.7,70.3,94.7,18.7,16.4,20.9
200,0.4,80,100.0,88.6,100.0,16.3,16.2,16.4
200,0.5,100,93.3,78.7,98.2,17.5,15.8,19.2
200,0.6,120,100.0,88.6,100.0,16.4,16.4,16.5
200,0.7,140,100.0,88.6,100.0,16.5,16.5,16.6
200,0.8,160,100.0,88.6,100.0,16.5,16.5,16.6
200,0.9,180,100.0,88.6,100.0,16.6,16.5,16.7
500,0.1,50,56.7,39.2,72.6,58.7,48.4,68.9
500,0.15,75,90.0,74.4,96.5,42.0,37.1,46.9
500,0.2,100,96.7,83.3,99.4,39.7,36.8,42.6
500,0.25,125,100.0,88.6,100.0,38.3,38.1,38.6
500,0.3,150,100.0,88.6,100.0,38.1,37.9,38.3
500,0.35,175,100.0,88.6,100.0,38.3,37.9,38.6
500,0.4,200,100.0,88.6,100.0,38.2,38.0,38.3
500,0.5,250,100.0,88.6,100.0,38.5,38.2,38.8
500,0.6,300,100.0,88.6,100.0,40.9,36.3,45.5
500,0.7,350,100.0,88.6,100.0,38.6,38.4,38.7
500,0.8,400,100.0,88.6,100.0,38.5,38.5,38.6
500,0.9,450,100.0,88.6,100.0,38.8,38.6,39.0
800,0.1,80,100.0,88.6,100.0,59.4,59.2,59.5
800,0.15,120,100.0,88.6,100.0,59.4,59.3,59.5
800,0.2,160,100.0,88.6,100.0,59.4,59.2,59.5
800,0.25,200,100.0,88.6,100.0,59.6,59.3,59.8
800,0.3,240,100.0,88.6,100.0,59.7,59.5,59.9
800,0.35,280,100.0,88.6,100.0,60.3,60.2,60.4
800,0.4,320,100.0,88.6,100.0,59.3,59.2,59.5
800,0.5,400,100.0,88.6,100.0,59.5,59.4,59.7
800,0.6,480,100.0,88.6,100.0,59.7,59.5,59.9
800,0.7,560,100.0,88.6,100.0,60.1,60.0,60.2
800,0.8,640,100.0,88.6,100.0,60.1,59.9,60.4
800,0.9,720,100.0,88.6,100.0,60.1,60.0,60.2
1500,0.1,150,100.0,88.6,100.0,108.7,108.4,109.0
1500,0.15,225,100.0,88.6,100.0,108.6,108.5,108.8
1500,0.2,300,100.0,88.6,100.0,109.1,108.8,109.3
1500,0.25,375,100.0,88.6,100.0,109.8,109.2,110.3
1500,0.3,450,100.0,88.6,100.0,109.8,109.4,110.1
1500,0.35,525,100.0,88.6,100.0,111.5,107.0,116.0
1500,0.4,600,100.0,88.6,100.0,109.7,109.5,110.0
1500,0.5,750,100.0,88.6,100.0,110.2,109.9,110.6
1500,0.6,900,100.0,88.6,100.0,110.3,110.0,110.7
1500,0.7,1050,100.0,88.6,100.0,110.4,110.1,110.7
1500,0.8,1200,100.0,88.6,100.0,110.7,110.4,110.9
1500,0.9,1350,100.0,88.6,100.0,110.7,110.5,111.0
